Date,Close,High,Low,Open,Volume,Company,MA_7,MA_21,MA_50,Lag_1,Lag_5,Lag_10,Rolling_Mean_7,Rolling_Mean_21,Rolling_Std_7,Rolling_Std_21,Target,Daily_Return
2019-03-13,596.3652954101562,601.9867474570777,587.8666645373902,591.8061426746194,24577591,Reliance,570.5310320172991,554.0090419224331,537.1478588867187,589.3052368164062,559.8475341796875,540.128173828125,570.5310320172991,554.0090419224331,17.58898952396482,16.02756374794451,593.8200073242188,
2019-03-14,593.8200073242188,602.871946999757,591.4076144308954,597.4496475061777,22753310,Reliance,577.1010306222098,555.8702276320685,539.1003314208984,596.3652954101562,562.2600708007812,541.5667114257812,577.1010306222098,555.8702276320685,16.233306478117218,18.233619404605918,585.0116577148438,-0.00426800168542163
2019-03-15,585.0116577148438,601.455609336697,580.3860816359203,595.3472108928156,34764353,Reliance,580.6959054129464,557.2455705915179,541.0058868408203,593.8200073242188,560.86572265625,544.9086303710938,580.6959054129464,557.2455705915179,14.465789778266206,19.31156434187754,597.5824584960938,-0.014833366172800178
2019-03-18,597.5824584960938,601.0793114262324,588.2649436727448,589.1501929738362,22104063,Reliance,585.741960797991,559.8982340494791,543.2836975097656,585.0116577148438,577.2433471679688,542.6953735351562,585.741960797991,559.8982340494791,13.054956887418925,20.858832955384077,609.3124389648438,0.021488120134825595
2019-03-19,609.3124389648438,610.8395237390288,594.5061994229327,601.9867341954044,21448030,Reliance,592.6629202706473,562.6826404389881,545.7438775634765,597.5824584960938,589.3052368164062,547.8300170898438,592.6629202706473,562.6826404389881,10.198315651522924,23.34386136202449,608.8253784179688,0.019629057550099915
2019-03-20,608.8253784179688,614.3804651405608,603.7571787776457,609.865575823248,21639437,Reliance,597.1746390206473,565.9570980980283,548.1403143310547,609.3124389648438,596.3652954101562,559.8475341796875,597.1746390206473,565.9570980980283,9.17429769255684,24.790121130018868,593.9085693359375,-0.0007993609119526512
2019-03-22,593.9085693359375,611.2378271135251,591.6732852516752,607.5196617727818,25078643,Reliance,597.832257952009,568.6055443173364,550.2393005371093,608.8253784179688,593.8200073242188,562.2600708007812,597.832257952009,568.6055443173364,8.667168995996613,24.657235504472112,586.2509765625,-0.024500964662137692
2019-03-25,586.2509765625,591.7397001118269,582.8205465049533,588.9732071022316,17394088,Reliance,596.3873552594866,570.5046706426712,552.1311334228516,593.9085693359375,585.0116577148438,560.86572265625,596.3873552594866,570.5046706426712,9.73035459630302,24.39339739642642,605.1959838867188,-0.0128935549490381
2019-03-26,605.1959838867188,607.1214311256831,588.7077093918853,588.840496818868,20734876,Reliance,598.0124947684152,573.0414079938616,554.4306378173828,586.2509765625,597.5824584960938,577.2433471679688,598.0124947684152,573.0414079938616,10.170151730482136,25.12357998173569,597.2283935546875,0.03231552369482338
2019-03-27,597.2283935546875,609.9320763376186,595.0152110776627,609.9320763376186,22079870,Reliance,599.7577427455357,575.5054234095982,556.6544488525391,605.1959838867188,609.3124389648438,589.3052368164062,599.7577427455357,575.5054234095982,8.4741148449707,24.821351689773284,601.9866943359375,-0.013165306023449452
