Price,Close,High,Low,Open,Volume
Ticker,ITC.NS,ITC.NS,ITC.NS,ITC.NS,ITC.NS
Date,,,,,
2019-01-01,196.502685546875,197.09351682766595,194.4869198986194,196.15514810147013,2586466
2019-01-02,195.04302978515625,196.8850268913986,192.92299828941577,196.18992990290053,10316782
2019-01-03,193.82659912109375,196.3289305860213,193.06199906400505,195.0430243242839,6350450
2019-01-04,195.28628540039062,196.6764792619597,194.03511973677993,194.03511973677993,8105747
2019-01-07,195.77285766601562,198.2751890778146,195.32105455901163,197.6148546815766,10133320
2019-01-08,197.58009338378906,198.44895907480304,195.56432762417714,196.01615276356756,7768619
2019-01-09,201.85491943359375,202.7585476859219,197.82338790075363,198.5184848618134,12651287
2019-01-10,201.29885864257812,204.1487276573454,200.81229295353182,202.0982212809054,10684824
2019-01-11,205.2956085205078,205.74743363692764,202.61950849649756,202.89754285994636,17419014
2019-01-14,204.56576538085938,204.91330281812895,201.57686852003116,204.70479357346892,6646635
2019-01-15,206.12974548339844,206.72057680073672,204.35725153138353,205.2261172281449,7490965
2019-01-16,204.39199829101562,206.12972955021718,202.75853266972638,205.74742955437296,8083821
2019-01-17,204.32252502441406,205.46942517930668,201.68116519436947,204.42676864803497,11009380
2019-01-18,202.58473205566406,205.1218034334309,202.02864139784572,203.83589748413115,11418250
2019-01-21,201.5073699951172,203.8011700037725,200.67324487960371,203.55787616857995,8519267
2019-01-22,201.40310668945312,202.27197234184547,198.20567844510887,201.47260977338348,10727385
2019-01-23,192.7491912841797,204.63527608891897,191.15048817185388,202.61951041272394,41735950
2019-01-24,193.86135864257812,196.9545213812498,193.131499126198,194.13939301993568,29105831
2019-01-25,194.0698699951172,196.5026760544366,193.58330437735285,194.62593869270435,9240591
2019-01-28,190.97669982910156,194.24363083181257,190.5943998613269,193.8613308640379,9338450
2019-01-29,193.54855346679688,193.93085347307544,190.97671906360497,191.35901906988354,7267917
2019-01-30,191.49803161621094,194.76496305676906,190.59442540554852,194.6954599704499,10852162
2019-01-31,193.68756103515625,194.3478953366248,190.17733623900605,192.19310169646317,15937442
2019-02-01,195.21678161621094,198.24041910855163,194.00035648432356,195.07775341875103,19060690
2019-02-04,192.61016845703125,195.94660259090554,191.8803090333857,195.94660259090554,6289877
2019-02-05,190.55966186523438,193.09675581260063,189.41276181411098,192.78395888152033,10205529
2019-02-06,193.0272216796875,193.5137873176917,190.83768732342025,191.15048423988793,8409442
2019-02-07,194.83444213867188,195.32100768695304,192.5406205370611,193.16621425463654,6177040
2019-02-08,191.49803161621094,195.46006000847396,190.87245978032962,194.2783973935261,4575570
2019-02-11,192.61016845703125,193.37476840499207,186.59761247579235,191.70654032330404,10335615
2019-02-12,191.3590087890625,194.97347737614356,190.87244316816668,192.57541182655078,7624089
2019-02-14,193.16622924804688,194.76493215677553,192.54063548191334,192.54063548191334,10378675
2019-02-15,194.69541931152344,195.28625049561202,191.4284885532099,193.93081943317344,38998388
2019-02-18,190.9419403076172,196.3289024952492,190.38587162375234,193.79183086405266,42232590
2019-02-19,191.7760772705078,194.069899548998,190.45540840524507,190.45540840524507,35777932
2019-02-20,191.74130249023438,192.88820240986144,190.62914309485248,192.71443370013037,6208106
2019-02-21,191.1852264404297,192.3668890044293,190.5944171879333,191.7760577224295,7264425
2019-02-22,190.6639404296875,191.81084055853313,189.82983725311954,191.5675687264321,9100951
2019-02-25,192.33218383789062,192.6449587850974,189.7603269575832,190.80296151712332,31204722
2019-02-26,191.49803161621094,192.54066602901608,190.49015976131759,191.1157315971989,12233273
2019-02-27,191.21998596191406,193.8613454107847,190.38588288677218,191.8455797903978,13634026
