Price,Close,High,Low,Open,Volume
Ticker,INFY.NS,INFY.NS,INFY.NS,INFY.NS,INFY.NS
Date,,,,,
2019-01-01,541.725830078125,542.7440351755266,532.8471114590108,538.3861372454661,2943390
2019-01-02,544.984130859375,549.0162333175056,539.2821818486591,542.4997201624016,7416655
2019-01-03,545.0655517578125,551.4598596378444,540.1373995014463,547.3870394041824,6827249
2019-01-04,538.4675903320312,548.9347688855626,530.2812310404839,547.183436177335,7889310
2019-01-07,547.1426391601562,548.6902809028246,538.8340765622733,541.6850505123382,8046340
2019-01-08,545.798583984375,551.8263773135692,544.5767380163253,549.7899673668197,8621545
2019-01-09,550.7266845703125,561.8862209906657,540.8704803424541,558.9538105623718,18130292
2019-01-10,553.6591186523438,555.5326057665067,547.8349666082994,555.2067603044621,9572493
2019-01-11,556.7545776367188,558.3837058814494,547.7943722906998,554.0665259763227,12281903
2019-01-14,571.7424926757812,578.5033639464326,566.8958269222942,575.8967491976039,19312937
2019-01-15,591.8621826171875,594.6317201044906,576.0596708446352,576.0596708446352,19671304
2019-01-16,600.1707763671875,600.9853404094114,593.4099047601375,594.5503143060685,9658944
2019-01-17,597.360595703125,601.9629030080716,593.89869808772,599.3562878012979,6903771
2019-01-18,595.4057006835938,599.6821626527926,591.6179573383395,594.6318547648044,5902151
2019-01-21,606.850341796875,611.737727099937,597.8901354079279,601.3113150634822,8129422
2019-01-22,607.1353149414062,610.1084937094522,597.8900325537222,603.7956221123251,6723375
2019-01-23,595.9758911132812,604.8953289449569,593.9801989659418,604.6916879037395,7212099
2019-01-24,599.5386352539062,602.8966868486704,590.5291748880688,596.3443520371522,7429783
2019-01-25,598.1871337890625,604.3709391145029,593.1909990127072,596.2624056351409,5543112
2019-01-28,596.2214965820312,600.0300110106767,588.8910623722355,598.7195641086289,7944693
2019-01-29,596.1805419921875,600.2347588811879,586.8434455422033,594.2148216899769,6760819
2019-01-30,594.5423583984375,601.8317991464604,590.6109184553067,596.1804417112969,5763026
